location,temp,last_updated,date
"Pinckney, MI",26°, As of 4:49 am EDT,2022-04-28
"Pinckney, MI",26°, As of 5:23 am EDT,2022-04-28
"Pinckney, MI",25°, As of 5:52 am EDT,2022-04-28
"Pinckney, MI",26°, As of 6:14 am EDT,2022-04-28
"Pinckney, MI",25°, As of 6:44 am EDT,2022-04-28
"Pinckney, MI",26°, As of 7:25 am EDT,2022-04-28
"Pinckney, MI",27°, As of 7:45 am EDT,2022-04-28
"Pinckney, MI",30°, As of 8:25 am EDT,2022-04-28
"Pinckney, MI",32°, As of 8:45 am EDT,2022-04-28
"Pinckney, MI",37°, As of 9:25 am EDT,2022-04-28
"Pinckney, MI",39°, As of 9:45 am EDT,2022-04-28
"Pinckney, MI",42°, As of 10:30 am EDT,2022-04-28
"Pinckney, MI",43°, As of 10:51 am EDT,2022-04-28
"Pinckney, MI",44°, As of 11:22 am EDT,2022-04-28
"Pinckney, MI",46°, As of 11:56 am EDT,2022-04-28
"Pinckney, MI",47°, As of 12:27 pm EDT,2022-04-28
"Pinckney, MI",48°, As of 12:57 pm EDT,2022-04-28
"Pinckney, MI",49°, As of 1:26 pm EDT,2022-04-28
"Pinckney, MI",50°, As of 1:57 pm EDT,2022-04-28
"Pinckney, MI",51°, As of 2:29 pm EDT,2022-04-28
"Pinckney, MI",52°, As of 3:01 pm EDT,2022-04-28
"Pinckney, MI",52°, As of 3:23 pm EDT,2022-04-28
"Pinckney, MI",53°, As of 3:59 pm EDT,2022-04-28
"Pinckney, MI",54°, As of 4:30 pm EDT,2022-04-28
"Pinckney, MI",54°, As of 4:57 pm EDT,2022-04-28
"Pinckney, MI",53°, As of 5:30 pm EDT,2022-04-28
"Pinckney, MI",53°, As of 5:50 pm EDT,2022-04-28
"Pinckney, MI",53°, As of 6:30 pm EDT,2022-04-28
"Pinckney, MI",53°, As of 6:51 pm EDT,2022-04-28
"Pinckney, MI",51°, As of 7:21 pm EDT,2022-04-28
